symbol,pnl,is_win,hour_of_day,vwap_dist_pct,rsi,macd_hist,ema_diff_pct,atr_pct,adx,regime,vol_ratio,zscore_vwap,num_confirmations,has_pattern,is_adx_rising,sentiment,ml_prob
AAPL,-12.461597499999979,0,14.0,-1.4572458763438076,24.023977471020046,-0.32052747682851185,-0.21687611149463398,0.24421581827279376,32.44797847013743,TREND_DOWN,1.7485188511467589,-3.65872876890834,1,True,True,0.0,0.5
AAPL,0.6321899999999779,1,14.0,-2.403498871960329,16.121428186893112,-0.43439628760404014,-0.3385676251424995,0.25184868121941384,32.25681468358362,TREND_DOWN,1.9011121283263057,-4.3464704649692365,1,True,True,0.0,0.5
AAPL,-1.6808680000000178,0,17.0,-0.9522441373416081,36.56945375670868,-0.042962922167331496,-0.20113899284110023,0.19449451079142402,21.182220959676197,NEUTRAL,1.2714780281630311,-5.287422214433938,1,True,True,0.0,0.5
AAPL,-8.882880000000004,0,16.0,-0.9071542191756333,40.69993682418314,0.05682762409901104,-0.11525681904367535,0.13543770143348036,30.04604166239126,TREND_DOWN,0.8456754631190065,-7.565303035536728,1,True,False,0.0,0.5
AAPL,-7.985042000000003,0,14.0,-2.095665523168124,17.286569053152277,-0.4245763123210137,-0.3649639908774945,0.275139607006298,34.77875895936265,TREND_DOWN,0.9445587450877937,-3.5187365464281024,1,True,True,0.0,0.5
AAPL,-8.478472500000006,0,18.0,-3.042295060358655,22.534844306094726,-0.0757739302633601,-0.2951928927802254,0.1424739806858571,54.351972814237556,TREND_DOWN,0.7723350096231452,-9.63724433687182,1,True,True,0.0,0.5
AAPL,2.541542999999951,1,20.0,-3.3121804697344235,26.208229533315546,-0.14616585613417454,-0.4632755932340511,0.22540020320652698,61.56691515520598,TREND_DOWN,3.4835151670551343,-6.777601679960728,1,True,True,0.0,0.5
AAPL,15.077737500000024,1,18.0,-0.1741372136484749,34.9692458808498,-0.09386721644317686,-0.09044840900680054,0.1401023878590455,23.643633550601947,NEUTRAL,0.9637212932251437,-0.9784657744818215,1,True,True,0.0,0.5
AAPL,5.19319300000002,1,16.0,2.0928224425941844,64.70503967238226,-0.19824930629885373,0.46622727354526305,0.26152920527996626,42.446790111143756,TREND_UP,0.6336721723864425,6.521699284044822,1,False,False,0.0,0.5
AAPL,-1.697216499999962,0,18.0,-0.5837646606787157,37.39457947070673,0.06890664113940298,-0.14868070685889073,0.13228805840656485,37.909630658754494,TREND_DOWN,0.33532728305651965,-6.177794822697354,1,True,False,0.0,0.5
AAPL,16.01196299999996,1,16.0,-0.11017722098448106,51.29603155310061,0.19828160431274733,0.0009615745167605887,0.3564009718700834,18.01994598502445,RANGE,0.6109623934080006,-0.28791919941447175,1,False,False,0.0,0.5
AAPL,15.050347000000013,1,15.0,2.3825211100112003,57.303316302979226,-0.195538545645068,0.4763140794481261,0.36423128556721435,45.648798029925864,TREND_UP,0.31029651343976367,3.296121839938863,1,False,False,0.0,0.5
AAPL,5.323113499999983,1,19.0,2.984067005965749,60.52373766268598,0.07814755351781799,0.1694336329748956,0.2072844830536033,22.86293317471456,NEUTRAL,0.8721696376053995,10.530091313587505,1,False,True,0.0,0.5
AAPL,-3.512799000000004,0,18.0,2.183659983757243,52.5649938095958,0.060121042776040204,0.0014141680289401866,0.271743436154092,10.08051321531347,RANGE,0.4341552002170211,8.995437338185319,1,False,False,0.0,0.5
AAPL,-2.4820290000000083,0,14.0,1.4744768490333644,50.17367237755593,-0.24519834118358586,0.02443074942129528,0.428768606594889,25.837354372952607,NEUTRAL,0.8055497017843928,3.4314985188326625,1,True,False,0.0,0.5
AAPL,1.4214719999999503,1,14.0,-0.794882382734299,25.410243495174484,-0.42218159297419133,-0.23209809985862928,0.2823101854211376,25.10435998318082,NEUTRAL,1.4997844758622376,-1.6159314198628003,1,True,True,0.0,0.5
AAPL,-7.790967500000022,0,16.0,-2.5281463881937487,21.151784046959776,-0.17326813124381113,-0.6746284725491667,0.3155295207366062,58.636277070333726,TREND_DOWN,1.3091734324311781,-4.629179397632501,1,True,True,0.0,0.5
AAPL,-7.815717000000053,0,18.0,-4.254449315912947,16.20915744362985,-0.036136177683784076,-0.7208859710101048,0.25621911821561427,67.64238640491446,TREND_DOWN,0.9801806490606584,-8.125805531804316,1,True,True,0.0,0.5
AAPL,15.187135500000052,1,19.0,-3.6662873516760306,37.451798503662246,-0.049631269987318316,-0.11511079459962358,0.13659705503147854,24.121693619593838,NEUTRAL,0.5855543725036195,-30.895154491610803,1,True,True,0.0,0.5
AAPL,-8.63951550000007,0,20.0,1.4277603090874689,61.81744024739688,-0.18069286254314376,0.291180808354159,0.18699076265081147,46.49999224897959,TREND_UP,0.9961716469189574,5.243115164962253,1,False,False,0.0,0.5
AAPL,15.252016499999987,1,19.0,-1.0536939015623243,28.822513667648593,-0.1077862922136853,-0.19698051848583722,0.1360530002446508,27.505807930611823,NEUTRAL,1.5170315497056683,-4.800169305749949,1,True,True,0.0,0.5
AAPL,-4.8260625,0,14.0,2.9624511582511373,79.06623093765401,0.33805959739349883,0.057770609731837924,0.28008678270934606,35.799428545368265,MOMENTUM,3.399668489642783,6.569841250962,1,False,True,0.0,0.5
AAPL,-7.760245500000004,0,14.0,-1.1479412935774769,25.5703532738806,-0.3809417545776946,-0.12349878104985096,0.22895863225648674,21.767993273468246,NEUTRAL,5.144802709628134,-2.8904257476534134,1,True,True,0.0,0.5
