timestamp_close,symbol,session,strategy,regime,entry_price,exit_price,qty,stop_loss,take_profit,hold_bars,exit_reason,gross_pnl,gross_pnl_pct,is_win,risk_distance,reward_distance,rr_ratio,achieved_rr,rsi,macd_hist,adx,atr_pct,vwap_dist_pct,ema_diff_pct,vol_ratio,zscore_vwap
2026-02-28T00:56:43.514778+00:00,CRWD,2,?,TREND_UP,471.955,464.44,1.0594,464.8757,486.1137,19,STOP_LOSS🛑STOP_LOSS,-7.9614,-1.5923,0,7.0793,14.1587,2.0,-1.062,60.1,-0.062992,29.15,0.1082,-0.2304,0.1343,1.0,0
2026-02-28T00:56:54.094311+00:00,CRWD,2,?,TREND_UP,480.5,476.63,1.0406,473.2925,494.915,75,STOP_LOSSTSTOP_LOSSRSTOP_LOSSASTOP_LOSSISTOP_LOSSLSTOP_LOSSISTOP_LOSSNSTOP_LOSSGSTOP_LOSS_STOP_LOSSSSTOP_LOSSTSTOP_LOSSOSTOP_LOSSPSTOP_LOSS,-4.0271,-0.8054,0,7.2075,14.415,2.0,-0.537,60.02,-0.662791,29.7,0.3379,3.5265,0.2795,1.0,0
2026-02-28T00:57:54.569784+00:00,CRWD,2,?,NEUTRAL,464.655,456.51,1.0761,457.6852,478.5946,14,STOP_LOSS🛑STOP_LOSS,-8.7648,-1.7529,0,6.9698,13.9396,2.0,-1.169,60.29,-0.447507,27.17,0.1839,0.2924,0.208,1.0,0
2026-02-28T00:57:58.677527+00:00,CRWD,2,?,TREND_UP,471.955,464.44,1.0594,464.8757,486.1137,19,STOP_LOSS🛑STOP_LOSS,-7.9614,-1.5923,0,7.0793,14.1587,2.0,-1.062,60.1,-0.062992,29.15,0.1082,-0.2304,0.1343,1.0,0
2026-02-28T00:58:09.189193+00:00,CRWD,2,?,TREND_UP,480.5,476.63,1.0406,473.2925,494.915,75,STOP_LOSSTSTOP_LOSSRSTOP_LOSSASTOP_LOSSISTOP_LOSSLSTOP_LOSSISTOP_LOSSNSTOP_LOSSGSTOP_LOSS_STOP_LOSSSSTOP_LOSSTSTOP_LOSSOSTOP_LOSSPSTOP_LOSS,-4.0271,-0.8054,0,7.2075,14.415,2.0,-0.537,60.02,-0.662791,29.7,0.3379,3.5265,0.2795,1.0,0
2026-02-28T00:59:37.713582+00:00,CVX,4,?,MOMENTUM,155.905,163.565,3.2071,153.5664,160.5822,1,STOP_LOSSTAKE_PROFITSTOP_LOSS,24.5664,4.9132,1,2.3386,4.6772,2.0,3.275,66.35,-0.022455,23.86,0.0913,1.8942,0.0812,1.0,0
2026-02-28T01:03:13.797058+00:00,CVX,4,?,MOMENTUM,155.905,163.565,3.2071,153.5664,160.5822,1,STOP_LOSSTAKE_PROFITSTOP_LOSS,24.5664,4.9132,1,2.3386,4.6772,2.0,3.275,66.35,-0.022455,23.86,0.0913,1.8942,0.0812,1.0,0
2026-02-28T01:11:22.477764+00:00,CVX,4,?,MOMENTUM,155.905,163.565,3.2071,153.5664,160.5822,1,STOP_LOSSTAKE_PROFITSTOP_LOSS,24.5664,4.9132,1,2.3386,4.6772,2.0,3.275,66.35,-0.022455,23.86,0.0913,1.8942,0.0812,1.0,0
2026-02-28T01:14:49.811548+00:00,CVX,4,?,MOMENTUM,155.905,163.565,3.2071,153.5664,160.5822,1,STOP_LOSSTAKE_PROFITSTOP_LOSS,24.5664,4.9132,1,2.3386,4.6772,2.0,3.275,66.35,-0.022455,23.86,0.0913,1.8942,0.0812,1.0,0
2026-02-28T01:21:32.112057+00:00,CVX,4,?,MOMENTUM,155.905,163.565,3.2071,153.5664,160.5822,1,STOP_LOSSTAKE_PROFITSTOP_LOSS,24.5664,4.9132,1,2.3386,4.6772,2.0,3.275,66.35,-0.022455,23.86,0.0913,1.8942,0.0812,1.0,0
